"content","date","Type_of_communication","link","title"
"Ortho-Cept Tablets (28 DAY) (2015-04-24) Recalled Products  Ortho-Cept Tablets (28 DAY)  Out of Specification results for active pharmaceutical ingredients (desogestrel and ethinyl estradiol) during stability testing at 30 months (expiry 36 months). Type I risk to health for patients who should not get...","
									2015-04-24								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/53137r-eng.php","Ortho-Cept Tablets (28 DAY) (2015-04-24)"
"Patients currently taking high doses of prescription ibuprofen (2400 mg per day) should talk to their healthcare professional about whether or not ibuprofen use is right for them. This applies in particular to patients who have risk factors or who have already had a heart attack or a stroke. Risk factors...","
									2015-04-23								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/53055a-eng.php","New safety information for prescription-strength ibuprofen: Risk of heart attack and stroke at high doses"
"Verify the lot number of your medication to determine if you have the affected product.  If you are unable to determine the lot number of your medication, contact the pharmacy from where it was received to confirm the lot number.  Speak to your healthcare provider about an alternative oral contraceptive...","
									2015-04-22								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/53059a-eng.php","One lot of Ortho-Cept birth control tablets recalled due to potency issues"
"Managing marketed health product-related side effects depends on health care professionals and consumers reporting them. Any case of serious adverse health consequences or other serious or unexpected side effects in patients receiving Primene 10% solution should be reported to Baxter Corporation or Health...","
									2015-04-21								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/53019a-eng.php","Primene 10% Amino Acid Injection, 250 mL, Pharmacy Bulk Pack - Compatibility Issue with Trace Elements - Important Information Updates on All Lots"
"Managing marketed health product-related side effects depends on health care professionals and consumers reporting them. Any case of priapism or other serious or unexpected side effects in patients receiving methylphenidate products should be reported to the manufacturers of those products or Health...","
									2015-04-21								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/53011a-eng.php","Methylphenidate Products - Risk of Priapism"
"Clavulin 400 (2015-04-17) Recalled products   Clavulin 400  The bottle was inspected and it was confirmed that two pieces of glass 17x14x8 mm and 15x15x8 mm respectively were inside the bottle along with the reconstituted suspension. The bottle itself was intact indicating that the glass was introduced...","
									2015-04-17								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/53017r-eng.php","Clavulin 400 (2015-04-17)"
"Clavulin-400 liquid oral antibiotic: One lot recalled after glass pieces found in one bottle   The issue: In consultation with Health Canada, GlaxoSmithKline Inc. (GSK) is voluntarily recalling one lot (lot 710535) of Clavulin-400 (70mL) after receiving a complaint from a pharmacy that two glass pieces...","
                                        2015-04-17                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/52997a-eng.php","Clavulin-400 liquid oral antibiotic: One lot recalled after glass pieces found in one bottle"
"APO-Fluoxetine (2015-04-17) Recalled products   APO-Fluoxetine  The active pharmaceutical ingredient (API) used in the manufacturing of these lots may not meet the specification for impurity - isobutyl vinyl ketone (IBVK)  Retailers    A. APO-Fluoxetine DIN 02216361  Capsule  Fluoxetine (Fluoxetine...","
									2015-04-17								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/52993r-eng.php","APO-Fluoxetine (2015-04-17)"
"Fluzone Quadrivalent (2015-04-16) Recalled Products  Fluzone Quadrivalent  Products were stored outside of recommended temperatures.  Shoppers Drug Mart Pharmacies in Ontario and Quebec    Fluzone Quadrivalent DIN 02420643 Suspension Haemagglutinin-Strain A (H1N1) 15 µg / 0.5 mL Haemagglutinin-Strain...","
									2015-04-16								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/53361r-eng.php","Fluzone Quadrivalent (2015-04-16)"
"Sanofi Pasteur Product Recall (2015-04-16) Recalled Products  A. Adacel B. Avaxim C. Avaxim - Pediatric (Syringe) D. Typhim VI E. Vaxigrip F. Vivaxim G. Menactra  Products were stored outside of recommended temperatures.  Shoppers Drug Mart Pharmacies in Ontario and Quebec   ,,,,,, A. Adacel, B. Avaxim,...","
									2015-04-16								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/53359r-eng.php","Sanofi Pasteur Product Recall (2015-04-16)"
"Baxsero (2015-04-16) Recalled Products  Baxsero  Products were stored outside of recommended temperatures.  Shoppers Drug Mart Pharmacies in Ontario and Quebec    Baxsero DIN 02417030 Suspension Outer membrane vesicles (Neisseria meningitidis group B NZ98/254 strain) 25 µg / 0.5 mL Recombinant Neisseria...","
									2015-04-16								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/53357r-eng.php","Baxsero (2015-04-16)"
"Novartis Pharmaceuticals Canada Product Recall (2015-04-16) Recalled Products  A. Sandostatin 50 mcg / mL B. Sandostatin 100 mcg / mL C. Sandostatin 200 mcg / mL D. Sandostatin 500 mcg / mL E. Sandostatin LAR 10 mg F. Sandostatin LAR 20 mg G. Sandostatin LAR 30 mg H. Tobi I. Xolair J. Estalis 140 / 50...","
									2015-04-16								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/53337r-eng.php","Novartis Pharmaceuticals Canada Product Recall (2015-04-16)"
"Hoffmann-La Roche Product Recall (2015-04-16) Recalled Products  A. Actemra 80 mg / 4 mL B. Actemra 200 mg / 10 mL C. Actemra 400 mg / 20 mL D. Avastin E. Rituxan F. Nutropin AQ Nuspin 10 G. Nutropin AQ Pen Cartridge H. Pegasys I. Pegasys RBV J. Pulmozyme 1 mg / mL  Products were stored outside of recommended...","
									2015-04-16								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/53333r-eng.php","Hoffmann-La Roche Product Recall (2015-04-16)"
"""""Enhance"""" and """"Natural-Power"""" test positive for sildenafil; removed from sale at Vaughan retailer   April 16, 2015 For immediate release OTTAWA – Further to a recent Advisory, Health Canada testing has found that two unauthorized health products, """"Enhance"""" and """"Natural-Power,"""" contain undeclared sildenafil....","
                                        2015-04-16                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/52983a-eng.php","""""Enhance"""" and """"Natural-Power"""" test positive for sildenafil; removed from sale at Vaughan retailer"
"RAN-GABAPENTIN (2015-04-10) Recalled Products  RAN-Gabapentin  Possibility of contamination with trace amounts of the active ingredient Etodolac.  Retailers    RAN-Gabapentin DIN 02319055 Capsule Gabapentin 100 mg...","
									2015-04-10								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/52913r-eng.php","RAN-GABAPENTIN (2015-04-10)"
"Apotex Product Recall (2015-04-10) Recalled Products  A. APO-Candesartan 16 mg (Type-II) B. APO-Pregabalin 50 mg (Type-II) C. APO-Pregabalin 75 mg (Type-II) D. APO-Verap SR 240 mg (Type-III)  Out of specification results during stability testing for CAD-II impurity (APO-Candesartan), unidentified impurity...","
									2015-04-10								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/52887r-eng.php","Apotex Product Recall (2015-04-10)"
"Managing marketed health product-related side effects depends on health care professionals and consumers reporting them. Any case of serious adverse health consequences or other serious or unexpected side effects in patients receiving Primene 10% solution should be reported to Baxter Corporation or Health...","
									2015-04-10								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/52883a-eng.php","Primene 10% Amino Acid Injection, 250 mL, Pharmacy Bulk Pack - Compatibility Issue with Trace Elements"
"Do not discontinue treatment with RAN-Gabapentin from the affected batch unless you have a history of anaphylaxis with NSAIDs.  If you have a history of anaphylaxis with NSAIDs, speak to your pharmacist or doctor as soon as possible about obtaining unaffected medication or an alternative treatment. ...","
									2015-04-10								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/52867a-eng.php","Recall of one batch of RAN-Gabapentin 100 mg capsules due to cross-contamination with Etodolac"
"Verify the lot number and expiry date of all your medications.  Return unused affected product to your pharmacist for a replacement.  Speak to your healthcare practitioner if you have used any of the affected product and consider using a non-hormonal method of birth control (such as condoms, spermicidal...","
									2015-04-07								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/52823a-eng.php","One lot of expired Alesse 21 birth control recalled by Shoppers Drug Mart"
"Alesse 21 (2015-04-02) Recalled Products  Alesse 21  Product dispensed after the expiry date.  Shoppers Drug Mart Customers   Advisory: One lot of expired Alesse 21 birth control recalled by Shoppers Drug Mart  Alesse 21 DIN 02236974 Tablet Ethinyl Estradiol 20 µG Levonorgestrel 100 µG...","
									2015-04-02								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/52841r-eng.php","Alesse 21 (2015-04-02)"
"Male fern was traditionally used to expel intestinal tapeworms in therapeutic doses of 1 gram to 15.5 grams. Based on current safety information, Health Canada has identified that products containing male fern at these levels may cause adverse effects including liver damage, blindness and death. It is...","
									2015-04-02								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/52807a-eng.php","Health Canada suspends two natural health product licences due to potential serious risks of male fern"
"The manufacturer advised Health Canada of the risk associated with this health product. Health Canada supports the actions taken by the manufacturer and as such a risk assessment was not required and a Summary Safety Review was not prepared.  The manufacturer advised Health Canada of the risk associated...","
									2015-04-02								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/52801a-eng.php","Amiodarone - Slow Heart Rate in Patients Taking Amiodarone Together with Harvoni or Sovaldi and a Direct Acting Antiviral"
"Patients taking ADHD medications, as well as their parents, families and friends, should monitor for suicidal thoughts and behaviours.  Report any distressing thoughts or feelings immediately to your doctor. This applies even after ADHD therapy has been stopped.  Consult your doctor if you are considering...","
									2015-03-30								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/52759a-eng.php","ADHD drugs may increase risk of suicidal thoughts and behaviours in some people; benefits still outweigh risks"
"Miracle Mineral Solution: Ingesting bleach-like chemical dangerous to health   OTTAWA - Health Canada is reminding Canadians that consuming a product sold as """"Miracle Mineral Solution"""" (MMS) may pose serious health risks, following a Health Canada seizure of an MMS product from a vendor in Burin, Newfoundland...","
                                        2015-03-26                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/52719a-eng.php","Miracle Mineral Solution: Ingesting bleach-like chemical dangerous to health"
"Flolan (2015-03-20) Recalled Products  Flolan  An out-of-specification result for known impurity during stability study.  Retail    Flolan DIN 02230848 Powder for solution Epoprostenol (Epoprostenol Sodium) 1.5 mg/vial...","
									2015-03-20								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/52679r-eng.php","Flolan (2015-03-20)"
"Recall of Marijuana for Medical Purposes - Tilray    Tilray is voluntarily recalling three marijuana for medical purposes products due to positive bacterial testing: Sativa House Blend (Lot number: 5411 9952 8740 9514), Hybrid House Blend (Lot number: 6889 8271 1515 4149) and Indica House Blend (Lot...","
									2015-03-20								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/52663a-eng.php","Recall of Marijuana for Medical Purposes - Tilray"
"Metoject (2015-03-17) Recalled Products  Metoject  In rare cases the concentration of Methotrexate in the syringes or pens is below specification due to incorrect handling of machine stops.  Wholesaler    Metoject DIN 02304767 Solution Methotrexate (Methotrexate sodium) 20 mg / 2 mL...","
									2015-03-17								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/52771r-eng.php","Metoject (2015-03-17)"
"Managing marketed health product-related side effects depends on health care professionals and consumers reporting them. Any case of serious local inflammation, phlebitis, allergic response and/or embolization in the body or other serious or unexpected infection or unexpected side effects in patients...","
									2015-03-14								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/52539a-eng.php","Jamp-Methotrexate Injection USP 50mg/2 mL - Voluntary Recall Due to the Potential Presence of Foreign Particulate Matter"
"Managing marketed health product-related side effects depends on health care professionals and consumers reporting them. Any case of serious local inflammation, phlebitis, allergic response and/or embolization in the body or other serious or unexpected infection or unexpected side effects in patients...","
									2015-03-14								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/52537a-eng.php","Cisplatin Injection 1 mg/mL, Gemcitabine for Injection, USP 1g and 2 g per vial, and Topotecan HCl for Injection 4 mg per vial - Recall of Lots Which May Contain Foreign Particulate Matter"
"Jamp Pharma Corporation also imported from Onco Therapies in India. Health Canada will continue to assess further impact of products supplied by Onco Therapies Ltd. to the Canadian market.  Speak to your healthcare practitioner if you have concerns about your health. Consult with your healthcare practitioner...","
									2015-03-13								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/52541a-eng.php","Jamp Pharma Corp Recalls Jamp-Methotrexate (USP 50mg/2mL) Due To Particulate Matter"
"Managing marketed health product-related side effects depends on health care professionals and consumers reporting them. Any case of serious local inflammation, phlebitis, allergic response and/or embolization in the body or other serious or unexpected infection or unexpected side effects in patients...","
									2015-03-12								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/52513a-eng.php","Methotrexate Injection USP 50 mg/2 mL - Voluntary Recall Due to the Potential Presence of Foreign Particulate Matter"
"Mylan Pharmaceuticals ULC notified Health Canada of a potential manufacturing issue identified during an inspection of Onco Therapies, one of its suppliers in India, by a regulatory partner. Mylan’s internal investigation identified the presence of particulate matter in one sample of Methotrexate Injection...","
									2015-03-11								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/52515a-eng.php","Mylan Recalls Methotrexate Injection (USP 50mg/2mL) Due To Particulate Matter"
"Managing marketed health product-related side effects depends on health care professionals and consumers reporting them. Any case of serious blood infection or air embolism or other serious or unexpected side effects in patients receiving 0.9% Sodium Chloride Injection USP, 50 mL or 5% Dextrose Injection...","
									2015-03-04								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/52431a-eng.php","0.9% Sodium Chloride Injection USP and 5% Dextrose Injection USP - Recalled Lot Due to the Potential for Leakage of the Parenteral Solution Bag"
"Managing marketed health product-related side effects depends on health care professionals and consumers reporting them. Any case of serious or unexpected side effects in patients receiving ZENHALE® should be reported to Merck Canada Inc. or Health Canada. Merck Canada Inc., Pharmacovigilance 16750...","
									2015-02-27								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43927a-eng.php","ZENHALE (mometasone furoate/formoterol fumarate dihydrate inhalation aerosol) - Recalled Lots Due to the Possibility of Device Malfunction After 24 Months Shelf-Life"
"Managing marketed health product-related side effects depends on health care professionals and consumers reporting them. Any case of serious or unexpected side effects in patients receiving olanzapine products with the identified lot numbers mentioned in the table should be reported to Health Canada....","
                                        2015-02-20                                    ","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43843a-eng.php","Olanzapine - Voluntarily Recalled Lots of Tablets by Pharmascience Inc., Pro Doc Limitée and Laboratoire Riva Inc."
"Polytopic Cream (2015-02-19) Recalled Products  Polytopic Cream  Product recalled due to Out of Specification result for the ingredient Polymixine B at 18 months stability testing.  Wholesalers    Polytopic Cream DIN 00422908 Cream Gramicidine 0.25 mg/g Polymyxine B 10000 unit/g...","
									2015-02-19								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43871r-eng.php","Polytopic Cream (2015-02-19)"
"RIVA-Olanzapine (2015-02-18) Recalled Products  A. RIVA-Olanzapine 2.5 mg B. RIVA-Olanzapine 5 mg C. RIVA-Olanzapine 7.5 mg  This lot is potentially contaminated with foreign tablets (Ondansetron 8mg).  Retailers   ,, A. RIVA-Olanzapine 2.5 mg, B. RIVA-Olanzapine 5 mg, C. RIVA-Olanzapine 7.5 mg DIN 02337126,DIN...","
									2015-02-18								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43907r-eng.php","RIVA-Olanzapine (2015-02-18)"
"Olanzapine (2015-02-18) Recalled Products  A. Olanzapine 2.5 mg B. Olanzapine 5 mg C. Olanzapine 10 mg  This lot is potentially contaminated with foreign tablets (Ondansetron 8mg).  Retailers   ,, A. Olanzapine 2.5 mg, B. Olanzapine 5 mg, C. Olanzapine 10 mg DIN 02311968,DIN 02311976,DIN 02311992 Tablet,...","
									2015-02-18								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43905r-eng.php","Olanzapine (2015-02-18)"
"PMS-Olanzapine (2015-02-18) Recalled Products  A. PMS-Olanzapine 2.5 mg B. PMS-Olanzapine 5 mg C. PMS-Olanzapine 7.5 mg D. PMS-Olanzapine 10 mg  This lot is potentially contaminated with foreign tablets (Ondansetron 8mg).  Retailers   ,,, A. PMS-Olanzapine 2.5 mg, B. PMS-Olanzapine 5 mg, C. PMS-Olanzapine...","
									2015-02-18								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43903r-eng.php","PMS-Olanzapine (2015-02-18)"
"Apothecare (APC) Bisacodyl (2015-02-18) Recalled Products  Apothecare (APC) Bisacodyl  Non-medicinal ingredients not listed on the label.  Wholesalers    Apothecare (APC) Bisacodyl DIN 02374943 Tablets (Delayed-release) 5 mg...","
									2015-02-18								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43829r-eng.php","Apothecare (APC) Bisacodyl (2015-02-18)"
"Managing marketed health product-related side effects depends on health care professionals and consumers reporting them. Any case of serious or unexpected side effects in patients receiving risperidone should be reported to Janssen Inc. or Health Canada. Drug Safety Department Janssen Inc. 19 Green Belt...","
									2015-02-18								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43797a-eng.php","Risperidone - Restriction of the Dementia Indication"
"API - Meloxicam, Nystatin, Retinoic Acid, Omeprazole, Liothyronine Sodium, Levothyroxine Sodium (2015-02-13) Recalled Products  API - Meloxicam, Nystatin, Retinoic Acid, Omeprazole, Liothyronine Sodium, Levothyroxine Sodium  Lack of evidence of temperature control for cold storage  Wholesalers and compounding...","
									2015-02-13								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43827r-eng.php","API - Meloxicam, Nystatin, Retinoic Acid, Omeprazole, Liothyronine Sodium, Levothyroxine Sodium (2015-02-13)"
"API - DMSO (2015-02-13) Recalled Products  API - DMSO  Purified grade is not for direct human use.  Wholesalers and compounding pharmacies    API - DMSO N/A Liquid N/A...","
									2015-02-13								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43825r-eng.php","API - DMSO (2015-02-13)"
"API - Azelaic Acid, Dichloroacetic acid sodium salt (2015-02-13) Recalled Products  API - Azelaic Acid, Dichloroacetic acid sodium salt  Lack of evidence product was fabricated specific to quality standard for drugs.  Wholesalers and compounding pharmacies    API - Azelaic Acid, Dichloroacetic acid...","
									2015-02-13								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43821r-eng.php","API - Azelaic Acid, Dichloroacetic acid sodium salt (2015-02-13)"
"Managing marketed health product-related side effects depends on health care professionals and consumers reporting them. Any case of serious local inflammation, phlebitis, allergic response and/or embolization in the body or other serious or unexpected infection or side effects in patients receiving...","
									2015-02-13								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43729a-eng.php","Cefazolin for Injection USP 1 g - May Contain Foreign Particulate Matter and Sterility May be Compromised"
"Skin-cancer drug Zelboraf (vemurafenib): new warning on the risk of pancreatitis   A new warning has been added to the Canadian prescribing information for the skin-cancer drug Zelboraf (vemurafenib) advising of the risk of pancreatitis. Zelboraf is used in adults to treat a type of skin cancer (melanoma...","
									2015-02-12								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43697a-eng.php","Skin-cancer drug Zelboraf (vemurafenib): new warning on the risk of pancreatitis"
"Cefazoline for injection Recalled Products   The recalled lots may contain foreign particles.  Retailers    Cefazoline for injection DIN 02297205 Powder For Solution Cefazolin (Cefazolin Sodium) 1 g/vial...","
									2015-02-11								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43713r-eng.php","Cefazoline for injection"
"Recall of Marijuana for Medical Purposes - Peace Naturals Project Inc.    Peace Naturals Project Inc. is voluntarily recalling product Nyce N' EZ (Lot number: 12-NAE-003-14 and Lot Number: 12-NAE-003-14-A) of marijuana for medical purposes. During the course of a regular inspection conducted under the...","
									2015-02-10								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43677a-eng.php","Recall of Marijuana for Medical Purposes - Peace Naturals Project Inc."
"Noritate (2015-02-06) Product Recalled  Noritate  Recall initiated due to an out-of-specification assay result for Metronidazole at 21 months stability testing.  Retail pharmacies    Noritate DIN 02156091 Cream Metronidazole 1% w/w...","
									2015-02-06								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43679r-eng.php","Noritate (2015-02-06)"
"TECFIDERA (dimethyl fumarate) - Risk of Rare Brain Condition Known as Progressive Multifocal Leukoencephalopathy (PML) - For the Public   This is duplicated text of a letter from Biogen Idec Canada Inc. Contact the company for a copy of any references, attachments or enclosures. Notice about Health Canada...","
									2015-02-06								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43627a-eng.php","TECFIDERA (dimethyl fumarate) - Risk of Rare Brain Condition Known as Progressive Multifocal Leukoencephalopathy (PML) - For the Public"
"TECFIDERA (dimethyl fumarate) - Risk of Rare Brain Condition Known as Progressive Multifocal Leukoencephalopathy (PML) - For Health Professionals   This is duplicated text of a letter from Biogen Idec Canada Inc. Contact the company for a copy of any references, attachments or enclosures. Notice about...","
									2015-02-06								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43625a-eng.php","TECFIDERA (dimethyl fumarate) - Risk of Rare Brain Condition Known as Progressive Multifocal Leukoencephalopathy (PML) - For Health Professionals"
"PMS-Propofol (2015-01-30) Recalled Products  PMS-Propofol  This lot is being recalled due to an out-of specification result on the globule size test.  Retailers and Healthcare Professionals    PMS-Propofol DIN 02244379 Emulsion Propofol - 10 mg/mL...","
									2015-01-30								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43615r-eng.php","PMS-Propofol (2015-01-30)"
"Biomedic Muscle & Back Pain Relief - 8 (2015-01-27) Recalled Products  Biomedic Muscle & Back Pain Relief - 8  An OOS Codeine Phosphate assay result was reported at 24 months stability testing.  Wholesalers    Biomedic Muscle & Back Pain Relief - 8 DIN 02248977 Caplets Methocarbamol 400 mg Acetaminophen...","
									2015-01-27								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43605r-eng.php","Biomedic Muscle & Back Pain Relief - 8 (2015-01-27)"
"METHOXACET-C1/8 (2015-01-27) Recalled Products  METHOXACET-C1/8  An OOS Codeine Phosphate assay result was reported at 24 months stability testing.  Wholesalers    METHOXACET-C1/8 DIN 02236872 Caplets Methocarbamol 400 mg Acetaminophen 325 mg Codeine phosphate 8 mg...","
									2015-01-27								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43603r-eng.php","METHOXACET-C1/8 (2015-01-27)"
"If symptoms of rhabdomyolysis or NMS are noticed, donepezil should be stopped immediately and a doctor or a pharmacist should be contacted right away. Symptoms of rhabdomyolysis include a combination of fever, muscle or joint pain, weakness, nausea, and dark (tea-like) urine. Symptoms of NMS include...","
									2015-01-21								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43469a-eng.php","Alzheimer's drug Aricept (donepezil) - New warnings on the serious risks of muscle breakdown and of a neurological disorder"
"Domperidone Maleate - Association with Serious Abnormal Heart Rhythms and Sudden Death (Cardiac Arrest) - For the Public   This is duplicated text of a letter from Apotex Incorporated, Dominion Pharmacal, Jamp Pharma Corporation, Marcan Pharmaceuticals Inc., Mylan Pharmaceuticals ULC, Pharmascience Inc.,...","
									2015-01-20								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43449a-eng.php","Domperidone Maleate - Association with Serious Abnormal Heart Rhythms and Sudden Death (Cardiac Arrest) - For the Public"
"Domperidone Maleate - Association with Serious Abnormal Heart Rhythms and Sudden Death (Cardiac Arrest) - For Health Professionals   This is duplicated text of a letter from Apotex Incorporated, Dominion Pharmacal, Jamp Pharma Corporation, Marcan Pharmaceuticals Inc., Mylan Pharmaceuticals ULC, Pharmascience...","
									2015-01-20								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43423a-eng.php","Domperidone Maleate - Association with Serious Abnormal Heart Rhythms and Sudden Death (Cardiac Arrest) - For Health Professionals"
"Sinus Medication Day & Night (2015-01-13) Recalled products  A. Life Brand Sinus Medication Day & Night B. Atoma Brand Sinus Medication Day & Night C. Biomedic Brand Sinus Medication Day & Night  The text on the inner blister label incorrectly lists Diphenhyramine hyrochloride as an active ingredient....","
									2015-01-13								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43447r-eng.php","Sinus Medication Day & Night (2015-01-13)"
"Health products from Sri Krishna Pharmaceuticals quarantined due to data integrity concerns    At Health Canada's request, Canadian importers have agreed to quarantine health products made with active pharmaceutical ingredients (APIs) from Sri Krishna Pharmaceuticals Ltd. in Hyderabad, India, due to...","
									2015-01-06								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43209a-eng.php","Health products from Sri Krishna Pharmaceuticals quarantined due to data integrity concerns"
"Metoclopramide - Abnormal Involuntary Movements (Extrapyramidal Symptoms) in Children - For the Public   This is duplicated text of a letter from Sandoz Canada Inc., Apotex Inc., Omega Laboratories Limited and Pendopharm Division of Pharmascience Inc. Contact the companies for a copy of any references,...","
									2015-01-05								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43171a-eng.php","Metoclopramide - Abnormal Involuntary Movements (Extrapyramidal Symptoms) in Children - For the Public"
"Metoclopramide - Abnormal Involuntary Movements (Extrapyramidal Symptoms) in Children - For Health Professionals   This is duplicated text of a letter from Sandoz Canada Inc., Apotex Inc., Omega Laboratories Limited and Pendopharm Division of Pharmascience Inc. Contact the companies for a copy of any...","
									2015-01-05								","Advisory","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43167a-eng.php","Metoclopramide - Abnormal Involuntary Movements (Extrapyramidal Symptoms) in Children - For Health Professionals"
"Oraverse (2015-01-02) Recalled Products  Oraverse  Distribution of a prescription drug product to the unlicensed wholesalers  Wholesalers    Oraverse DIN 02421666 Sterile Injectable Phentolamine Mesylate 0.4 mg / 1.7 mL...","
									2015-01-02								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2015/43387r-eng.php","Oraverse (2015-01-02)"
"PMS-Rosuvastatin (2014-12-31) Recalled Products  PMS-Rosuvastatin  Recall of the products due to out of specification results in the stability testing for impurity degradation.  Wholesalerts and Retailers    PMS-Rosuvastatin DIN 02378566 Tablet Rosuvastatine (Rosuvastatin Calcium)  40 mg...","
									2014-12-31								","Recall","http://www.healthycanadians.gc.ca/recall-alert-rappel-avis/hc-sc/2014/43243r-eng.php","PMS-Rosuvastatin (2014-12-31)"
